route_id,service_id,trip_id,trip_headsign
A100,A,A100-A-65-39900,Myślęcinek
A100,A,A100-A-65-43500,Myślęcinek
A100,A,A100-A-65-45300,Myślęcinek
A100,A,A100-A-65-47100,Myślęcinek
A100,A,A100-A-65-50700,Myślęcinek
A100,A,A100-A-65-54300,Myślęcinek
A100,A,A100-A-65-56100,Myślęcinek
A100,A,A100-A-65-57900,Myślęcinek
A100,A,A100-A-65-59700,Myślęcinek
A100,A,A100-A-65-61500,Myślęcinek
A100,A,A100-A-65-63300,Myślęcinek
A100,A,A100-A-65-65100,Myślęcinek
A100,A,A100-A-66-43200,Plac Kościeleckich
A100,A,A100-A-66-46800,Plac Kościeleckich
A100,A,A100-A-66-48600,Plac Kościeleckich
A100,A,A100-A-66-50400,Plac Kościeleckich
A100,A,A100-A-66-54000,Plac Kościeleckich
A100,A,A100-A-66-57600,Plac Kościeleckich
A100,A,A100-A-66-59400,Plac Kościeleckich
A100,A,A100-A-66-61200,Plac Kościeleckich
A100,A,A100-A-66-63000,Plac Kościeleckich
A100,A,A100-A-66-64800,Plac Kościeleckich
A100,A,A100-A-66-66600,Plac Kościeleckich
A100,A,A100-A-66-68400,Plac Kościeleckich
A102,A,A102-A-61-38100,Park Przemysłowy/Exploseum
A102,A,A102-A-61-41700,Park Przemysłowy/Exploseum
A102,A,A102-A-61-48900,Park Przemysłowy/Exploseum
A102,A,A102-A-61-52500,Park Przemysłowy/Exploseum
A102,A,A102-A-62-40800,Plac Kościeleckich
A102,A,A102-A-62-44400,Plac Kościeleckich
A102,A,A102-A-62-51600,Plac Kościeleckich
A102,A,A102-A-62-55200,Plac Kościeleckich
A31N,P,A31N-P-1021-91740,Dworzec Leśne
A31N,P,A31N-P-1021-95340,Dworzec Leśne
A31N,N,A31N-N-1021-91740,Dworzec Leśne
A31N,N,A31N-N-1021-95340,Dworzec Leśne
A31N,S,A31N-S-1021-91740,Dworzec Leśne
A31N,S,A31N-S-1021-95340,Dworzec Leśne
A31N,P,A31N-P-1022-92820,Łoskoń - Zajezdnia
A31N,N,A31N-N-1022-92820,Łoskoń - Zajezdnia
A31N,S,A31N-S-1022-92820,Łoskoń - Zajezdnia
A31N,P,A31N-P-1023-86160,Łoskoń - Zajezdnia
A31N,P,A31N-P-1023-96960,Łoskoń - Zajezdnia
A31N,P,A31N-P-1023-100560,Łoskoń - Zajezdnia
A31N,N,A31N-N-1023-86160,Łoskoń - Zajezdnia
A31N,N,A31N-N-1023-96960,Łoskoń - Zajezdnia
A31N,N,A31N-N-1023-100560,Łoskoń - Zajezdnia
