service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
C_20180810-20180811,1,1,1,1,1,1,1,20180810,20180811
POW,1,1,1,1,1,0,0,20180701,20181130
POW_2_5105,1,1,1,1,1,0,0,20180701,20181130
POW_20180809-20180809,1,1,1,1,1,0,0,20180809,20180809
POW_20180810-20180811,1,1,1,1,1,0,0,20180810,20180811
POW_3_6460,1,1,1,1,1,0,0,20180701,20181130
POW_6_4396,1,1,1,1,1,0,0,20180701,20181130
POWZ,1,1,1,1,1,0,0,20180903,20181130
POWL,1,1,1,1,1,0,0,20180701,20180902
POWL_12_6480,1,1,1,1,1,0,0,20180701,20180902
POWL_20180810-20180810,1,1,1,1,1,0,0,20180810,20180810
POWL_20180810-20180811,1,1,1,1,1,0,0,20180810,20180811
POWL_3_6479,1,1,1,1,1,0,0,20180701,20180902
POWL_61_7713,1,1,1,1,1,0,0,20180701,20180902
POWL_7_6481,1,1,1,1,1,0,0,20180701,20180902
POWL_8_6484,1,1,1,1,1,0,0,20180701,20180902
POWL_87_6196,1,1,1,1,1,0,0,20180701,20180902
POWD,1,1,1,1,1,0,0,20180701,20181031
POWND,1,1,1,1,1,0,0,20181101,20181130
POWNLW,1,1,1,1,1,0,0,20181001,20181130
POWLW,1,1,1,1,1,0,0,20180701,20180930
POWLW_53_7594,1,1,1,1,1,0,0,20180701,20180930
POWS,1,1,1,1,1,0,0,20180903,20181130
POWNS,1,1,1,1,1,0,0,20180701,20180902
POWNLS,1,1,1,1,1,0,0,20180901,20181130
POWLS,1,1,1,1,1,0,0,20180701,20180902
POWDNL,1,1,1,1,1,0,0,20180903,20181031
POW1,1,0,0,0,0,0,0,20180701,20181130
POW2345,0,1,1,1,1,0,0,20180701,20181130
15SGD,1,0,0,0,1,0,0,20180903,20181130
234SGD,0,1,1,1,0,0,0,20180903,20181130
SOB,0,0,0,0,0,1,0,20180701,20181130
SOB_12_4636,0,0,0,0,0,1,0,20180701,20181130
SOB_2_5106,0,0,0,0,0,1,0,20180701,20181130
SOB_20180810-20180811,0,0,0,0,0,1,0,20180810,20180811
SOB_3_4474,0,0,0,0,0,1,0,20180701,20181130
SOB_6_4397,0,0,0,0,0,1,0,20180701,20181130
SOB_7_6156,0,0,0,0,0,1,0,20180701,20181130
SOB_8_6158,0,0,0,0,0,1,0,20180701,20181130
SOBZ,0,0,0,0,0,1,0,20180903,20181130
SOBL,0,0,0,0,0,1,0,20180701,20180902
SOBD,0,0,0,0,0,1,0,20180701,20181031
SOBND,0,0,0,0,0,1,0,20181101,20181130
NIE,0,0,0,0,0,0,1,20180701,20181130
NIE_6_4398,0,0,0,0,0,0,1,20180701,20181130
NIEBN,0,0,0,0,0,0,1,20180701,20181130
NIEZ,0,0,0,0,0,0,1,20180903,20181130
NIEL,0,0,0,0,0,0,1,20180701,20180902
NIEPW,0,0,0,0,0,0,1,20180701,20180902
NIEPW_12_4638,0,0,0,0,0,0,1,20180701,20180902
NIEPR,0,0,0,0,0,0,1,20180903,20181130
NIED,0,0,0,0,0,0,1,20180701,20181031
NIEND,0,0,0,0,0,0,1,20181101,20181130
SWI,0,0,0,0,0,1,1,20180701,20181130
SWI_53_7596,0,0,0,0,0,1,1,20180701,20181130
SWI_87_6197,0,0,0,0,0,1,1,20180701,20181130
SWID,0,0,0,0,0,1,1,20180701,20181031
SWIND,0,0,0,0,0,1,1,20181101,20181130
SWINDB,0,0,0,0,0,1,1,20181101,20181130
SWBN,0,0,0,0,0,1,1,20180701,20181130
SWIDB,0,0,0,0,0,1,1,20180701,20181031
SWIDB_20180811-20180811,0,0,0,0,0,1,1,20180811,20180811
SWIDB_61_7581,0,0,0,0,0,1,1,20180701,20181031
N,1,1,1,1,1,1,1,20180701,20181130
N_526_4335,1,1,1,1,1,1,1,20180701,20181130
NCS,0,0,0,1,1,1,0,20180701,20181130
NNS,1,1,1,0,0,0,1,20180701,20181130
NS,0,0,0,0,0,1,0,20180701,20181130
NNP,1,1,1,1,1,0,1,20180701,20181130
NPS,0,0,0,0,1,1,0,20180701,20181130
