service_id,date,exception_type
NIEH,20180701,1
NIEH,20180729,1
NIEH,20180805,1
N_526_2488,20180809,1
N_526_4335,20180809,2
POW_6_4396,20180809,2
N_526_2488,20180810,1
POW_53_7672,20180810,1
POW_56_7690,20180810,1
POW_65_7694,20180810,1
POW_68_7674,20180810,1
POW_71_7696,20180810,1
POW_75_7675,20180810,1
POW_79_7700,20180810,1
POW_81_7677,20180810,1
POW_866_7702,20180810,1
POW_887_7688,20180810,1
POW_96_7692,20180810,1
POW_A_7683,20180810,1
POW_B_7685,20180810,1
POW_C_7686,20180810,1
POWLW_20180810-20180810_53_7802,20180810,1
N_526_4335,20180810,2
POW_2_5105,20180810,2
POW_3_6460,20180810,2
POW_6_4396,20180810,2
POWL_12_6480,20180810,2
POWL_3_6479,20180810,2
POWL_61_7713,20180810,2
POWL_7_6481,20180810,2
POWL_8_6484,20180810,2
POWL_87_6196,20180810,2
POWLW_53_7594,20180810,2
N_526_2488,20180811,1
SOB_20180811-20180811_87_7807,20180811,1
SOB_53_7670,20180811,1
SOB_53_7673,20180811,1
SOB_56_7691,20180811,1
SOB_65_7695,20180811,1
SOB_68_7709,20180811,1
SOB_71_7697,20180811,1
SOB_75_7676,20180811,1
SOB_79_7701,20180811,1
SOB_81_7678,20180811,1
SOB_866_7708,20180811,1
SOB_887_7689,20180811,1
SOB_96_7693,20180811,1
SOB_A_7684,20180811,1
SOB_B_7710,20180811,1
SOB_C_7687,20180811,1
N_526_4335,20180811,2
SOB_12_4636,20180811,2
SOB_2_5106,20180811,2
SOB_3_4474,20180811,2
SOB_6_4397,20180811,2
SOB_7_6156,20180811,2
SOB_8_6158,20180811,2
SWI_53_7596,20180811,2
SWI_87_6197,20180811,2
SWIDB_61_7581,20180811,2
N_526_2488,20180812,1
NIE_16_7837,20180812,1
NIEPW_12_6540,20180812,1
N_526_4335,20180812,2
NIE_6_4398,20180812,2
NIEPW_12_4638,20180812,2
NIE,20180815,1
NIE_6_4398,20180815,1
NIEBN,20180815,1
NIED,20180815,1
NIEL,20180815,1
SWBN,20180815,1
SWI,20180815,1
SWI_53_7596,20180815,1
SWI_87_6197,20180815,1
SWID,20180815,1
SWIDB,20180815,1
SWIDB_61_7581,20180815,1
POW,20180815,2
POW_2_5105,20180815,2
POW_3_6460,20180815,2
POW_6_4396,20180815,2
POW2345,20180815,2
POWD,20180815,2
POWL,20180815,2
POWL_12_6480,20180815,2
POWL_3_6479,20180815,2
POWL_61_7713,20180815,2
POWL_7_6481,20180815,2
POWL_8_6484,20180815,2
POWL_87_6196,20180815,2
POWLS,20180815,2
POWLW,20180815,2
POWLW_20180810-20180810_53_7802,20180815,2
POWLW_53_7594,20180815,2
NIEH,20180826,1
