"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible","low_floor"
"A","POW","A-7610-POW-1-1-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-2-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-3-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-4-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-5-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-6-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-7-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-8-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-9-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-10-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-11-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-12-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-13-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-14-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-15-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-16-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-17-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-18-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-19-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-20-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-21-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-22-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-23-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-24-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-25-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-26-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-27-0","Plac Rodła","0","A/1",604,0,1
"A","POW","A-7610-POW-1-28-0","Osiedle Bukowe","1","A/1",603,0,1
"A","POW","A-7610-POW-1-29-0","Plac Rodła","0","A/1",604,0,1
