variant_id,stop_id
636939,638
636939,3124
636940,3123
636940,636
636941,638
636941,3124
636941,3431
636942,695
636942,3123
636942,636
636943,638
636943,3124
636943,3431
636944,695
636944,3123
636944,636
676249,638
676249,705
676250,706
676250,639
685528,3276
685529,3276
685530,3276
685531,3332
685551,638
685551,3124
685552,3123
685552,636
685553,638
685553,3124
685553,3431
685554,695
685554,3123
685554,636
685555,638
685555,3124
685555,3431
685556,695
685556,3123
685556,636
685557,638
685557,705
685558,706
685558,639
685559,706
685559,639
685560,73
685560,3467
685561,2838
685561,3476
685561,74
685562,149
685563,148
685564,2251
685565,1015
685566,72
685567,73
685568,2716
685569,2715
685570,149
685571,148
685571,2716
685572,2251
685572,895
685573,992
685573,1015
685574,2716
685574,2477
685575,2040
685577,2838
685577,3476
685577,74
685578,2838
685578,3476
685578,74
685578,2716
685580,74
685584,73
685586,149
685586,912
685587,148
685589,148
685589,2716
685590,153
685590,148
685591,153
685591,148
685592,153
685592,148
685592,2716
685593,1015
685594,2251
685599,1015
685599,2716
685601,73
685602,73
685602,2716
685605,2716
685606,149
685606,153
685607,153
685607,148
685608,153
685608,148
685609,153
685609,148
685609,2716
685610,148
685611,148
685612,148
685612,2716
685614,992
685614,1015
685617,992
685617,1015
685618,992
685618,1015
685619,992
685619,1015
685619,2716
685620,2251
685620,895
685621,895
685622,895
685623,2040
685624,2040
685624,2716
685625,73
685625,3467
685627,149
685628,148
685629,2251
685630,1015
685631,72
685632,73
685633,2716
685634,2715
685635,149
685637,2251
685637,895
685638,992
685638,1015
685640,2838
685640,3476
685640,74
685641,2838
685641,3476
685641,74
685641,2716
685642,2838
685642,3476
685642,74
685644,74
685645,74
685645,2716
685647,73
685649,149
685649,912
685650,148
685651,148
685652,148
685652,2716
685653,153
685653,148
685654,153
685654,148
685655,153
685655,148
685655,2716
685656,1015
685661,1015
685662,1015
685662,2716
685663,73
685664,73
685665,73
685665,2716
685668,2716
685673,148
685675,148
685675,2716
685676,148
685677,992
685677,1015
685679,992
685679,1015
685679,2716
685684,895
686493,1249
686493,27
686494,26
686494,3133
687204,1249
687204,27
687205,26
687205,3133
692074,3518
692074,3894
692074,472
692074,3269
692074,3276
692074,3316
